Abbey Road,Bayswater,Bryanston and Dorset Square,Church Street,Churchill,Harrow Road,Hyde Park,Knightsbridge and Belgravia,Lancaster Gate,Little Venice,Maida Vale,Marylebone High Street,Queen's Park,Regent's Park,St. James's,Tachbrook,Vincent Square,Warwick,West End,Westbourne
1,3,2,5,24,3,3,23,7,2,1,6,1,3,82,1,0,22,36,2
0,0,3,4,23,1,4,4,4,1,3,3,3,5,76,8,6,15,56,2
1,3,4,5,41,1,6,7,7,8,0,3,4,4,62,4,2,8,29,3
0,3,3,3,19,5,3,5,13,2,3,4,4,1,62,1,5,13,46,3
0,4,3,4,3,1,6,6,10,6,2,2,4,2,30,5,5,6,36,1
0,2,2,2,6,3,6,11,10,2,4,2,3,2,25,4,6,8,37,8
0,3,9,2,13,0,14,66,17,3,0,1,2,5,33,6,3,7,52,4
2,1,4,0,38,1,4,6,6,1,0,1,3,7,25,4,2,8,28,3
0,2,5,1,25,0,2,8,2,1,0,2,2,8,31,7,2,8,40,4
2,2,5,3,13,6,8,7,4,2,1,7,4,12,44,7,4,7,35,6
0,2,3,8,12,6,4,12,6,4,0,6,11,6,43,2,2,9,53,16
2,12,5,8,33,14,6,7,2,6,1,2,11,1,46,2,4,6,35,6
1,3,6,8,15,3,7,7,3,4,1,2,1,3,59,4,6,11,53,7
1,2,3,9,41,3,11,14,0,3,4,1,4,1,43,1,3,6,35,2
0,0,1,3,16,3,1,4,3,3,2,3,2,0,30,2,5,8,25,1
1,3,4,2,9,5,4,5,6,2,1,0,1,6,46,2,2,4,32,3
0,0,2,5,15,8,8,9,4,5,3,2,1,5,32,0,5,6,36,7
1,4,6,4,5,5,2,4,4,8,3,4,4,3,36,2,1,4,42,8
2,2,4,7,10,0,7,87,10,1,0,1,4,1,29,1,1,7,41,6
0,0,3,6,10,2,9,7,9,4,5,1,5,1,40,4,5,8,46,4
1,0,1,3,8,1,5,8,5,5,1,5,2,0,53,2,2,5,44,1
2,3,4,2,7,3,4,9,4,5,1,1,2,2,44,3,6,6,53,4
0,16,5,5,5,53,10,17,5,1,1,1,36,2,47,7,4,5,37,28
2,2,4,1,8,6,9,12,5,2,0,3,5,3,52,7,3,4,38,6
3,1,9,2,9,4,5,8,2,2,0,6,0,1,42,3,6,9,47,0
0,0,6,4,16,1,2,8,4,3,1,7,3,6,54,3,1,5,39,4
0,1,1,1,6,5,4,12,2,1,1,4,5,1,34,6,7,2,30,1
0,0,2,4,2,6,7,8,4,6,1,6,4,4,51,3,7,3,30,1
3,2,5,6,7,1,5,8,3,1,2,0,1,2,43,4,5,6,38,2
3,0,3,6,3,2,8,21,5,5,3,3,1,2,55,7,2,2,65,7
0,4,7,2,5,2,9,68,1,1,1,3,6,6,60,1,3,4,50,2
2,3,5,1,15,3,3,14,4,2,2,3,4,6,62,5,2,2,57,2
1,2,0,3,6,1,3,14,0,1,2,2,2,4,67,4,4,1,48,1
1,1,5,0,11,5,7,30,3,1,0,0,4,2,68,2,3,5,40,7
1,28,3,10,12,49,8,11,9,1,2,6,39,5,62,2,5,8,55,43
3,1,1,10,6,5,5,9,5,2,1,4,3,2,37,6,7,5,53,6
5,4,7,10,5,2,5,16,3,2,1,4,6,3,37,7,5,1,37,3
1,1,6,9,5,2,8,12,4,2,0,5,3,3,52,2,3,4,42,2
0,1,4,2,4,1,5,21,1,2,3,5,1,1,56,1,2,0,47,7
0,3,3,7,4,2,2,14,1,1,0,3,4,2,50,0,8,6,38,4
2,1,3,5,5,2,4,12,3,1,0,0,3,2,35,1,2,3,31,3
2,3,5,12,1,1,3,14,3,2,0,5,1,3,23,3,1,3,24,1
1,1,4,7,10,2,5,12,2,2,3,2,3,6,25,4,5,4,30,3
2,3,2,8,10,2,8,13,2,1,2,2,3,2,44,2,1,8,36,5
0,1,5,5,7,1,2,17,1,0,3,3,2,2,25,3,1,2,21,4
2,0,5,4,5,0,3,14,1,1,0,1,2,2,23,4,3,5,35,1
0,56,7,9,4,85,3,10,6,3,5,1,78,4,24,2,7,2,35,90
0,4,1,2,3,4,7,15,6,0,0,2,1,2,21,2,5,3,19,4
1,3,0,5,3,3,7,9,5,5,3,1,0,2,32,1,0,3,19,5
1,3,6,21,10,6,4,9,8,2,3,1,2,5,31,2,4,3,37,6
1,1,12,11,3,2,4,33,1,4,1,7,6,11,37,5,7,2,26,2
